,action,start_time,end_time
0,Left Fuels,0.0,1.5
1,Left Fuels,1.5,3.0
2,abandon,3.0,5.95
3,Right Hand Fan,5.95,7.35
4,Right Hand Fan,7.35,8.75
5,Hands Wave Down,8.75,11.75
6,Beat Up And Down,11.75,12.55
7,Beat Up And Down,12.55,13.350000000000001
8,Left Fuels,13.350000000000001,15.150000000000002
9,Beat Up And Down,15.150000000000002,15.950000000000003
10,Beat Up And Down,15.950000000000003,16.750000000000004
11,akimbo,16.750000000000004,18.150000000000002
12,Hands Wave Up,18.150000000000002,21.150000000000002
