,action,start_time,end_time
0,Hands Wave Down,0.0,1.6
1,Hands Wave Down,1.6,3.2
2,left right rhythm,3.2,5.2
3,Finesse Swing,5.2,8.71
4,left right rhythm,8.71,10.71
5,Finesse Swing,10.71,12.31
6,Running Man,12.31,14.3
7,Hands Wave Up,14.3,16.3
8,Akimbo Down,16.3,18.1
9,split leap,18.1,21.700000000000003
10,Beat Up And Down,21.700000000000003,22.500000000000004
11,abandon,22.500000000000004,23.500000000000004
12,Hands Wave Down,23.500000000000004,25.500000000000004
13,abandon,25.500000000000004,26.800000000000004
14,Beat Up And Down,26.800000000000004,27.600000000000005
15,Parallel Hands Akimbo Erect,27.600000000000005,29.400000000000006
16,Open Heart Left,29.400000000000006,30.100000000000005
17,Fast Advance,30.100000000000005,30.620000000000005
18,Left Side Kick,30.620000000000005,31.540000000000006
19,Cross Fingers,31.540000000000006,32.32000000000001
20,Fast Advance,32.32000000000001,32.84000000000001
21,Motion Hands,32.84000000000001,33.54000000000001
22,Running Man,33.54000000000001,35.530000000000015
23,Running Man,35.530000000000015,37.52000000000002
24,Hands Wave Down,37.52000000000002,39.52000000000002
25,Hands Wave Down,39.52000000000002,41.52000000000002
26,Hands Wave Up,41.52000000000002,43.52000000000002
27,abandon,43.52000000000002,44.52000000000002
28,abandon,44.52000000000002,45.52000000000002
29,Cross Fingers,45.52000000000002,46.30000000000002
30,Cross Fingers,46.30000000000002,47.08000000000002
31,Fast Advance,47.08000000000002,47.60000000000002
32,Hit Chest,47.60000000000002,48.51000000000002
33,Left Punch,48.51000000000002,49.31000000000002
34,Left Hands Oblique Parallel,49.31000000000002,50.110000000000014
35,Hands Wave Down,50.110000000000014,52.110000000000014
36,Hands Wave Down,52.110000000000014,54.110000000000014
37,Hands Wave Up,54.110000000000014,56.110000000000014
38,Akimbo Raise,56.110000000000014,56.990000000000016
39,Akimbo Raise,56.990000000000016,57.87000000000002
40,Cross Fingers,57.87000000000002,58.65000000000002
41,Cross Fingers,58.65000000000002,59.43000000000002
42,Hands Wave Up,59.43000000000002,61.43000000000002
43,Fast Advance,61.43000000000002,61.950000000000024
44,Fast Advance,61.950000000000024,62.47000000000003
45,Akimbo Down,62.47000000000003,64.27000000000002
46,arms upward,64.27000000000002,66.27000000000002
47,arms upward,66.27000000000002,68.27000000000002
48,abandon,68.27000000000002,69.27000000000002
49,left right rhythm,69.27000000000002,71.27000000000002
50,Finesse Swing,71.27000000000002,72.87000000000002
51,left right rhythm,72.87000000000002,74.87000000000002
52,Finesse Swing,74.87000000000002,76.47000000000001
53,Running Man,76.47000000000001,78.46000000000001
54,Left Side Kick,78.46000000000001,79.38000000000001
55,Left Hands Oblique Parallel,79.38000000000001,80.18
56,Parallel Hands Akimbo Erect,80.18,81.98
57,Hands Wave Up,81.98,83.98
58,Hands Wave Down,83.98,85.98
59,Motion Hands,85.98,86.68
60,Motion Hands,86.68,87.38000000000001
61,Right Hand Fan,87.38000000000001,88.58000000000001
62,Akimbo Down,88.58000000000001,90.38000000000001
63,Open Heart Left,90.38000000000001,91.08000000000001
64,Beat Up And Down,91.08000000000001,92.08000000000001
65,split leap,92.08000000000001,95.68
66,Parallel Hands,95.68,96.88000000000001
67,Hands Wave Down,96.88000000000001,98.88000000000001
68,Hands Wave Up,98.88000000000001,100.88000000000001
69,Hit Chest,100.88000000000001,101.79
70,Left Punch,101.79,102.59
71,Open Heart Left,102.59,103.29
72,Running Man,103.29,105.28
73,Parallel Hands Akimbo Erect,105.28,107.08
74,Right lean,107.08,108.67999999999999
75,Right lean,108.67999999999999,110.27999999999999
76,Akimbo Down,110.27999999999999,112.07999999999998
77,shock hands to chest,112.07999999999998,113.38999999999999
